excerpts;topic_name;annotator_1;annotator_2;annotator_3
  Bagulho louco ela já vem no interesse Sabe que o pai é chato, e trabalha no macete Fala que me ama, mas sei que é de momento Gravando o TikTok vai fazendo o movimento Mulher não ama macho, elas ama dinheiro;Aparência e comportamento das mulheres;1;1;1
  Bagulho louco ela já vem no interesse Sabe que o pai é chato, e trabalha no macete Fala que me ama, mas sei que é de momento Gravando o TikTok vai fazendo o movimento Mulher não ama macho, elas ama dinheiro;Dinâmicas de sedução, sexo, desejo sexual;1;1;1
  Bagulho louco ela já vem no interesse Sabe que o pai é chato, e trabalha no macete Fala que me ama, mas sei que é de momento Gravando o TikTok vai fazendo o movimento Mulher não ama macho, elas ama dinheiro;Festas e bailes Funk;0;0;0
  Bagulho louco ela já vem no interesse Sabe que o pai é chato, e trabalha no macete Fala que me ama, mas sei que é de momento Gravando o TikTok vai fazendo o movimento Mulher não ama macho, elas ama dinheiro;Violência e crime;0;0;0
"A coisa que eu mais detesto no mundo é mulher recalcada
Que fica conspirando teu nome sem te conhecer
Aí, recalcada
Dois reais ou uma indireta misteriosa?
Abre espaço que as mais brabas da cena tá chegando, porra
Tem que respeitar
Que essa é as meninas que os meninos gostam";Aparência e comportamento das mulheres;1;1;1
"A coisa que eu mais detesto no mundo é mulher recalcada
Que fica conspirando teu nome sem te conhecer
Aí, recalcada
Dois reais ou uma indireta misteriosa?
Abre espaço que as mais brabas da cena tá chegando, porra
Tem que respeitar
Que essa é as meninas que os meninos gostam";Dinâmicas de sedução, sexo, desejo sexual;0;0;1
"A coisa que eu mais detesto no mundo é mulher recalcada
Que fica conspirando teu nome sem te conhecer
Aí, recalcada
Dois reais ou uma indireta misteriosa?
Abre espaço que as mais brabas da cena tá chegando, porra
Tem que respeitar
Que essa é as meninas que os meninos gostam";Festas e bailes Funk;0;0;0
"A coisa que eu mais detesto no mundo é mulher recalcada
Que fica conspirando teu nome sem te conhecer
Aí, recalcada
Dois reais ou uma indireta misteriosa?
Abre espaço que as mais brabas da cena tá chegando, porra
Tem que respeitar
Que essa é as meninas que os meninos gostam";Violência e crime;0;0;0
"A freira que o amparou tentava reter seus dois pezinhos sem conseguir
E ela dizia: Mas que menino danado
Como vai chamar ele, mãe?";Dinâmicas de sedução, sexo, desejo sexual;0;0;0
"A freira que o amparou tentava reter seus dois pezinhos sem conseguir
E ela dizia: Mas que menino danado
Como vai chamar ele, mãe?";Relações Familiares;1;1;1
"A freira que o amparou tentava reter seus dois pezinhos sem conseguir
E ela dizia: Mas que menino danado
Como vai chamar ele, mãe?";Violência e crime;0;0;0
A mãe olha que cena eu estou em um som com o Hariel, lembra que eu te disse que isso aqui ia virar? Claro que te entendo, eu sim te procuraria, independente da família. Sim ou não acreditar, mas fala mais um pouco que eu adoro sua história. Na real, me pergunto como aguentou tudo isso, Felipe. Você nunca teve que compreender uma mulher sozinho.;Reflexões sobre a vida e superação de desafios;1;0;1
A mãe olha que cena eu estou em um som com o Hariel, lembra que eu te disse que isso aqui ia virar? Claro que te entendo, eu sim te procuraria, independente da família. Sim ou não acreditar, mas fala mais um pouco que eu adoro sua história. Na real, me pergunto como aguentou tudo isso, Felipe. Você nunca teve que compreender uma mulher sozinho.;Relacionamentos;1;0;1
A mãe olha que cena eu estou em um som com o Hariel, lembra que eu te disse que isso aqui ia virar? Claro que te entendo, eu sim te procuraria, independente da família. Sim ou não acreditar, mas fala mais um pouco que eu adoro sua história. Na real, me pergunto como aguentou tudo isso, Felipe. Você nunca teve que compreender uma mulher sozinho.;Relações Familiares;1;1;1
A mãe olha que cena eu estou em um som com o Hariel, lembra que eu te disse que isso aqui ia virar? Claro que te entendo, eu sim te procuraria, independente da família. Sim ou não acreditar, mas fala mais um pouco que eu adoro sua história. Na real, me pergunto como aguentou tudo isso, Felipe. Você nunca teve que compreender uma mulher sozinho.;Violência e crime;0;0;0
A mãe olha que loucura eu estou em um som com o Hariel, lembra que eu te disse que isso aqui ia bombar? Claro que te entendo, eu sim te procuraria, independente da família. Pode acreditar ou não, mas conta mais um pouco que eu adoro sua história. Na verdade, me pergunto como você aguentou tudo isso, Felipe. Você nunca teve que decifrar uma mulher soz;Dinâmicas de sedução, sexo, desejo sexual;1;0;0
A mãe olha que loucura eu estou em um som com o Hariel, lembra que eu te disse que isso aqui ia bombar? Claro que te entendo, eu sim te procuraria, independente da família. Pode acreditar ou não, mas conta mais um pouco que eu adoro sua história. Na verdade, me pergunto como você aguentou tudo isso, Felipe. Você nunca teve que decifrar uma mulher soz;Reflexões sobre a vida e superação de desafios;1;0;1
A mãe olha que loucura eu estou em um som com o Hariel, lembra que eu te disse que isso aqui ia bombar? Claro que te entendo, eu sim te procuraria, independente da família. Pode acreditar ou não, mas conta mais um pouco que eu adoro sua história. Na verdade, me pergunto como você aguentou tudo isso, Felipe. Você nunca teve que decifrar uma mulher soz;Relacionamentos;0;0;1
A mãe olha que loucura eu estou em um som com o Hariel, lembra que eu te disse que isso aqui ia bombar? Claro que te entendo, eu sim te procuraria, independente da família. Pode acreditar ou não, mas conta mais um pouco que eu adoro sua história. Na verdade, me pergunto como você aguentou tudo isso, Felipe. Você nunca teve que decifrar uma mulher soz;Relações Familiares;1;1;1
A mãe olha que loucura eu estou em um som com o Hariel, lembra que eu te disse que isso aqui ia bombar? Claro que te entendo, eu sim te procuraria, independente da família. Pode acreditar ou não, mas conta mais um pouco que eu adoro sua história. Na verdade, me pergunto como você aguentou tudo isso, Felipe. Você nunca teve que decifrar uma mulher soz;Violência e crime;1;0;0
"A noite chegou, nóis partiu pro Baile funk
E como de costume toca a nave no rasante
De Sonata, de Azzera, as mais gata sempre pira
Com os brilho da jóias no corpo de longe elas mira
Da até piripaque do Chaves onde nóis por perto passa
Onde tem fervo tem nóis, onde tem fogo há fumaça";Aparência e comportamento das mulheres;1;1;1
"A noite chegou, nóis partiu pro Baile funk
E como de costume toca a nave no rasante
De Sonata, de Azzera, as mais gata sempre pira
Com os brilho da jóias no corpo de longe elas mira
Da até piripaque do Chaves onde nóis por perto passa
Onde tem fervo tem nóis, onde tem fogo há fumaça";Consumo e ostentação;0;1;1
"A noite chegou, nóis partiu pro Baile funk
E como de costume toca a nave no rasante
De Sonata, de Azzera, as mais gata sempre pira
Com os brilho da jóias no corpo de longe elas mira
Da até piripaque do Chaves onde nóis por perto passa
Onde tem fervo tem nóis, onde tem fogo há fumaça";Dinâmicas de sedução, sexo, desejo sexual;1;0;1
"A noite chegou, nóis partiu pro Baile funk
E como de costume toca a nave no rasante
De Sonata, de Azzera, as mais gata sempre pira
Com os brilho da jóias no corpo de longe elas mira
Da até piripaque do Chaves onde nóis por perto passa
Onde tem fervo tem nóis, onde tem fogo há fumaça";Festas e bailes Funk;0;1;1
"A noite chegou, nóis partiu pro Baile funk
E como de costume toca a nave no rasante
De Sonata, de Azzera, as mais gata sempre pira
Com os brilho da jóias no corpo de longe elas mira
Da até piripaque do Chaves onde nóis por perto passa
Onde tem fervo tem nóis, onde tem fogo há fumaça";Vida nas favelas;0;0;1
"A noite chegou, nóis partiu pro Baile funk
E como de costume toca a nave no rasante
De Sonata, de Azzera, as mais gata sempre pira
Com os brilho da jóias no corpo de longe elas mira
Da até piripaque do Chaves onde nóis por perto passa
Onde tem fervo tem nóis, onde tem fogo há fumaça";Violência e crime;0;0;0
"A vida te ensina, lapidando seu talento
É só uma fase, faz parte do crescimento
Pra quem tá no corre, a vitória vem com o tempo
Trabalhando duro lá de cima Deus tá vendo";Reflexões sobre a vida e superação de desafios;1;1;1
"A vida te ensina, lapidando seu talento
É só uma fase, faz parte do crescimento
Pra quem tá no corre, a vitória vem com o tempo
Trabalhando duro lá de cima Deus tá vendo";Vida nas favelas;0;0;0
abre espaco pros cara do momento que mete joga dentro e faz voce se apaixonar de abercrombie de christian ou ed hardy de anel uma aeropostale os cara vao pirar babar;Consumo e ostentação;1;1;1
abre espaco pros cara do momento que mete joga dentro e faz voce se apaixonar de abercrombie de christian ou ed hardy de anel uma aeropostale os cara vao pirar babar;Dinâmicas de sedução, sexo, desejo sexual;0;0;1
abre espaco pros cara do momento que mete joga dentro e faz voce se apaixonar de abercrombie de christian ou ed hardy de anel uma aeropostale os cara vao pirar babar;Festas e bailes Funk;1;0;0
abre espaco pros cara do momento que mete joga dentro e faz voce se apaixonar de abercrombie de christian ou ed hardy de anel uma aeropostale os cara vao pirar babar;Violência e crime;0;0;0
ai hari nao esquece de mandar um beijo pra sua mae nao hein mano mas ai tia karen se ele esquecer eu ja vou mandar aqui ta um beijo meu amor fica com deus ta que ogum proteja seu filho sua familia sua casa certo que o papai oxossi tambem proteja sua filha que nos e o memo santo ne ta ligado;Arrependimento;0;0;0
ai hari nao esquece de mandar um beijo pra sua mae nao hein mano mas ai tia karen se ele esquecer eu ja vou mandar aqui ta um beijo meu amor fica com deus ta que ogum proteja seu filho sua familia sua casa certo que o papai oxossi tambem proteja sua filha que nos e o memo santo ne ta ligado;Relacionamentos;0;0;1
ai hari nao esquece de mandar um beijo pra sua mae nao hein mano mas ai tia karen se ele esquecer eu ja vou mandar aqui ta um beijo meu amor fica com deus ta que ogum proteja seu filho sua familia sua casa certo que o papai oxossi tambem proteja sua filha que nos e o memo santo ne ta ligado;Relações Familiares;1;1;1
