titulo,artista,url,texto_original,posicao
,Henrique & Juliano,https://www.letras.mus.br/henrique-e-juliano/amor-dos-outros/,Henrique & Juliano,1
,Henrique & Juliano,https://www.letras.mus.br/henrique-e-juliano/seja-ex/,Henrique & Juliano,2
10 Minutos Longe de Você (part. ),Henrique e Juliano,https://www.letras.mus.br/victor-leo/10-minutos-longe-de-voce/,10 Minutos Longe de Você (part. Henrique e Juliano),3
Só Dá Você Na Minha Vida (part. ),Henrique e Juliano,https://www.letras.mus.br/daniel/63687/,Só Dá Você Na Minha Vida (part. Henrique e Juliano),4
,Chitãozinho & Xororó,https://www.letras.mus.br/chitaozinho-e-xororo/768469/,Chitãozinho & Xororó,5
,Chitãozinho & Xororó,https://www.letras.mus.br/chitaozinho-e-xororo/45215/,Chitãozinho & Xororó,6
,Chitãozinho e Xororó,https://www.letras.mus.br/tonico-e-tinoco/327061/,Chitãozinho e Xororó,7
,Felipe Araújo,https://www.letras.mus.br/felipe-araujo/body-splash/,Felipe Araújo,8
,Felipe Araújo,https://www.letras.mus.br/felipe-araujo/atrasadinha/,Felipe Araújo,9
,Luan Pereira,https://www.letras.mus.br/luan-pereira/voce-e-sua-amiguinha-part-mc-daniel/,Luan Pereira,10
,Diego e Victor Hugo,https://www.letras.mus.br/diego-victor-hugo/tubaroes/,Diego e Victor Hugo,11
,Diego e Victor Hugo,https://www.letras.mus.br/diego-victor-hugo/facas-part-bruno-e-marrone/,Diego e Victor Hugo,12
,Simone Mendes,https://www.letras.mus.br/simone-mendes/erro-gostoso/,Simone Mendes,13
,Simone Mendes,https://www.letras.mus.br/simone-mendes/saudade-proibida/,Simone Mendes,14
,Clayton e Romário,https://www.letras.mus.br/clayton-romario/se-eu-te-perdoar/,Clayton e Romário,15
,Clayton e Romário,https://www.letras.mus.br/clayton-romario/opa-cade-eu/,Clayton e Romário,16
,Gustavo Mioto,https://www.letras.mus.br/gustavo-mioto/princesa-part-ana-castela/,Gustavo Mioto,17
Fronteira (part. ),Gustavo Mioto,https://www.letras.mus.br/ana-castela/fronteira-part-gustavo-mioto/,Fronteira (part. Gustavo Mioto),18
,Luan Santana,https://www.letras.mus.br/luan-santana/olho-marrom/,Luan Santana,19
Quarto 67 (part. ),Luan Santana,https://www.letras.mus.br/guilherme-e-benuto/quarto-67-part-luan-santana/,Quarto 67 (part. Luan Santana),20
,Jorge & Mateus,https://www.letras.mus.br/jorge-mateus/1668672/,Jorge & Mateus,21
A Grama do Vizinho (part. ),Jorge & Mateus,https://www.letras.mus.br/bruno-rosa/a-grama-do-vizinho-part-jorge-e-mateus/,A Grama do Vizinho (part. Jorge & Mateus),22
Anti-Amor (part. ),Jorge e Mateus,https://www.letras.mus.br/gustavo-mioto/anti-amor/,Anti-Amor (part. Jorge e Mateus),23
Tá Faltando Eu (part. ),Jorge e Mateus,https://www.letras.mus.br/gusttavo-lima/ta-faltando-eu/,Tá Faltando Eu (part. Jorge e Mateus),24
