ranking_posicao,titulo,artista,titulo_original,artista_original,letra,url,ano,coletado_em,contagem_palavras,contagem_linhas,fonte
1,Amor Dos Outros,Henrique & Juliano,Amor Dos Outros,Henrique & Juliano,"Mais um casal surgindo, anéis de compromisso Mais um novo amigo pros amigos meus Um sorriso sumindo, um ciúme vindo E a luta agora é entre ele e eu A gente errou tanto pra entrar no eixo Trocou tanta ideia pra ser um casal perfeito Foi se melhorando, se moldando, você consertou, eu consertei E quando tava tudo ok, sobrei Esse sorriso que sumiu da minha cara tá na cara dele O seu pra sempre, que sumiu de mim pra sempre, apareceu pra ele É lindo pegar um te amo no meio do caminho Eu quero ver construir um te amo desde o início O difícil é, pra mim, não ter sido feliz por pouco O fácil é, pra ele, ser feliz com o amor dos outros O difícil é, pra mim, não ter sido feliz por pouco O fácil é, pra ele, ser feliz com o amor dos outros A gente errou tanto pra entrar no eixo Trocou tanta ideia pra ser um casal perfeito Foi se melhorando, se moldando, você consertou, eu consertei E quando tava tudo ok, sobrei Esse sorriso que sumiu da minha cara tá na cara dele O seu pra sempre, que sumiu de mim pra sempre, apareceu pra ele É lindo pegar um te amo no meio do caminho Eu quero ver construir um te amo desde o início O difícil é, pra mim, não ter sido feliz por pouco O fácil é, pra ele, ser feliz com o amor dos outros O difícil é, pra mim, não ter sido feliz por pouco O fácil é, pra ele, ser feliz com o amor dos outros",https://www.letras.mus.br/henrique-e-juliano/amor-dos-outros/,2025.0,2025-10-01T20:17:18.959523,271,1,ranking_mais_acessadas_corrigido
2,Evidências (part. Roberto Carlos),Chitãozinho & Xororó,Evidências,Chitãozinho & Xororó,"Quando eu digo que deixei de te amar É porque eu te amo Quando eu digo que não quero mais você É porque eu te quero Eu tenho medo de te dar meu coração E confessar que eu estou em tuas mãos Mas não posso imaginar O que vai ser de mim Se eu te perder um dia Eu me afasto e me defendo de você Mas depois me entrego Faço tipo, falo coisas que eu não sou Mas depois eu nego Mas a verdade É que eu sou louco por você E tenho medo de pensar em te perder Eu preciso aceitar que não dá mais Pra separar as nossas vidas E nessa loucura de dizer que não te quero Vou negando as aparências Disfarçando as evidências Mas pra que viver fingindo Se eu não posso enganar meu coração?Eu sei que te amo!Chega de mentiras De negar o meu desejo Eu te quero mais que tudo Eu preciso do seu beijo Eu entrego a minha vida Pra você fazer o que quiser de mim Só quero ouvir você dizer que sim!Diz que é verdade, que tem saudade Que ainda você pensa muito em mim Diz que é verdade, que tem saudade Que ainda você quer viver pra mim",https://www.letras.mus.br/chitaozinho-e-xororo/evidencias/,,2025-10-01T20:17:21.597454,209,1,ranking_mais_acessadas_corrigido
3,Infiel,Marília Mendonça,Infiel,Marília Mendonça,"Isso não é uma disputa Eu não quero te provocar Descobri faz um ano e tô te procurando pra dizer Hoje a farsa vai acabar Hoje não tem hora de ir embora Hoje ele vai ficar No momento deve estar feliz e achando que ganhou Não perdi nada, acabei de me livrar Com certeza ele vai atrás, mas com outra intenção Tá sem casa, sem rumo e você é a única opção E agora, será que aguenta a barra sozinha?Se sabia de tudo, se vira, a culpa não é minha O seu prêmio, que não vale nada, estou te entregando Pus as malas lá fora e ele ainda saiu chorando Essa competição por amor só serviu pra me machucar Tá na sua mão, você agora vai cuidar de um traidor Me faça esse favor Iê-ê-ê, infiel Eu quero ver você morar num motel Estou te expulsando do meu coração Assuma as consequências dessa traição Iê, iê, iê, infiel Agora ela vai fazer o meu papel Daqui um tempo você vai se acostumar E aí vai ser a ela a quem vai enganar Você não vai mudar O seu prêmio, que não vale nada, estou te entregando Pus as malas lá fora e ele ainda saiu chorando Essa competição por amor só serviu pra me machucar Tá na sua mão, você agora vai cuidar de um traidor Me faça esse favor Iê-ê-ê, infiel Eu quero ver você morar num motel Estou te expulsando do meu coração Assuma as consequências dessa traição Iê, iê, iê, infiel Agora ela vai fazer o meu papel Daqui um tempo você vai se acostumar E aí vai ser a ela a quem vai enganar Você não vai mudar Iê-ê-ê, infiel Agora ela vai fazer o meu papel Daqui um tempo você vai se acostumar E aí vai ser a ela a quem vai enganar Você não vai mudar Iê-ê, infiel",https://www.letras.mus.br/marilia-mendonca/infiel/,2015.0,2025-10-01T20:17:25.355220,314,1,ranking_mais_acessadas_corrigido
4,Seja Ex,Henrique & Juliano,Seja Ex,Henrique & Juliano,"(Cê foi embora pra ser o quê? Pra ser ex, não foi?)(Então seja) (então seja ex)Minha esperança é você sair Beijar uma boca nos primeiros dez minutos Que aí eu pego ódio da sua cara e, se voltar Cê não bagunça mais um cara inseguro Porque se continuar nessa levada Cê vai ser o meu talvez pra sempre Porque aqui a gente briga, cê vai embora Mas lá fora cê respeita, não beija e não beira gente Cê tá freando a minha vida porque você não sabe o que sente Cê foi embora pra ser ex, seja ex Cê foi embora pra sumir, some O que cê tá fazendo com a minha vida é putaria, me desculpa Não tem outro nome Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque Cê foi embora pra ser ex, seja ex Cê foi embora pra sumir, some O que cê tá fazendo com a minha vida é putaria, me desculpa Não tem outro nome Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque Cresce(Foi embora pra ser ex e fica nesse chove não molha, sabe?)Porque se continuar nessa levada Cê vai ser o meu talvez pra sempre Porque aqui a gente briga, cê vai embora Mas lá fora cê respeita, não beija e não beira gente Cê tá freando a minha vida porque você não sabe o que sente(Cês sabem já? Sabem?)Cê foi embora pra ser ex, seja ex Cê foi embora pra sumir, some O que cê tá fazendo com a minha vida é putaria, me desculpa Não tem outro nome Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque Cê foi embora pra ser ex, seja ex Cê foi embora pra sumir, some O que cê tá fazendo com a minha vida é putaria, me desculpa Não tem outro nome Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque Cresce(Seja ex)",https://www.letras.mus.br/henrique-e-juliano/seja-ex/,2025.0,2025-10-01T20:17:28.259192,398,1,ranking_mais_acessadas_corrigido
5,OLHO MARROM,Luan Santana,OLHO MARROM,Luan Santana,"(Uou, uou, uou)O que é que cê fez na noite passada?O que é que cê fez entre o colchão e o teto?Me virou do avesso Me fez ver que o avesso é o meu lado certo Sua unha fez estrada nas minhas costas Sua boca na minha boca fez história Esqueço o meu aniversário, o andar do meu apartamento Mas o seu não esqueço nem querendo Menina do olho marrom bombom, seu dom É me arrastar pra baixo do meu edredom E balançar meu Ortobom fazendo bem-bom Gemendo no tom, aô Menina do olho marrom bombom, seu dom É me arrastar pra baixo do meu edredom E balançar meu Ortobom fazendo bem-bom Gemendo no tom, aô Menina do olho marrom Sua unha fez estrada nas minhas costas Sua boca na minha boca fez história Esqueço o meu aniversário, o andar do meu apartamento Mas o seu não esqueço nem querendo Menina do olho marrom bombom, seu dom É me arrastar pra baixo do meu edredom E balançar meu Ortobom fazendo bem-bom Gemendo no tom, aô Menina do olho marrom, seu dom É me arrastar pra baixo do meu edredom E balançar meu Ortobom fazendo bem-bom Gemendo no tom, aô",https://www.letras.mus.br/luan-santana/olho-marrom/,,2025-10-01T20:17:32.068401,199,1,ranking_mais_acessadas_corrigido
6,Balada,Gusttavo Lima,Balada,Gusttavo Lima,"Eu já lavei o meu carro, regulei o som Já tá tudo preparado, vem que o reggae é bom Menina, fica à vontade, entre e faça a festa Me liga mais tarde, vou adorar, vamos nessa Gata, me liga, mais tarde tem balada Quero curtir com você na madrugada Dançar, pular até o Sol raiar Gata, me liga, mais tarde tem balada Quero curtir com você na madrugada Dançar, pular que hoje vai rolar Tchê, tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-re-tchê Tchê, tchê, tchê, tchê Gusttavo Lima e você Tchê, tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-re-tchê Tchê, tchê, tchê, tchê Se você me olhar, vou querer te pegar E depois namorar, curtição Que hoje vai rolar Gata, me liga, mais tarde tem balada Quero curtir com você na madrugada Dançar, pular até o Sol raiar Gata, me liga, mais tarde tem balada Quero curtir com você na madrugada Dançar, pular que hoje vai rolar Tchê, tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-re-tchê Tchê, tchê, tchê, tchê Gusttavo Lima e você Tchê, tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-re-tchê Tchê, tchê, tchê, tchê Gata, me liga, mais tarde tem balada Quero curtir com você na madrugada Dançar, pular até o Sol raiar Gata, me liga, mais tarde tem balada Quero curtir com você na madrugada Dançar, pular que hoje vai rolar Tem Gusttavo Lima até de madrugada Tchê, tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-re-tchê Tchê, tchê, tchê, tchê Gusttavo Lima e você Tchê, tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-re-tchê Tchê, tchê, tchê, tchê Se você me olhar, vou querer te pegar E depois namorar, curtição Que hoje vai rolar Gata, me liga, mais tarde tem balada Quero curtir com você na madrugada Dançar, pular até o Sol raiar Gata, me liga, mais tarde tem balada Quero curtir com você na madrugada Dançar, pular que hoje vai rolar Tchê, tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-re-tchê Tchê, tchê, tchê, tchê Gusttavo Lima e você Tchê, tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-rê, tchê, tchê Tche-re-re-tchê Tchê, tchê, tchê, tchê Gusttavo Lima e você",https://www.letras.mus.br/gusttavo-lima/balada/,2011.0,2025-10-01T20:17:35.033571,366,1,ranking_mais_acessadas_corrigido
7,"Boate Azul (part. Jorge & Mateus, Marília Mendonça e Leonardo)",Bruno & Marrone,Boate Azul,Bruno & Marrone,"Doente de amor, procurei remédio na vida noturna Com a flor da noite em uma boate aqui na zona sul A dor do amor é com outro amor que a gente cura Vim curar a dor desse mal de amor na boate azul E quando a noite vai se agonizando no clarão da aurora Os integrantes da vida noturna se foram dormir E a dama da noite que estava comigo também foi embora Fecharam-se as portas, sozinho de novo tive que sair Sair de que jeito se nem sei o rumo para onde vou Muito vagamente me lembro que estou Em uma boate aqui na zona sul Eu bebi demais e não consigo me lembrar sequer Qual era o nome daquela mulher A flor da noite na boate azul Hoje meus dias são de tristeza e solidão Trago em minha alma uma profunda conformação Renunciei meu grande amor um dia Nos braços dela em que tão triste eu dizia Beijando os lábios do meu amor com frenesi Não chores, por favor porque preciso partir Esse foi o meu último beijo Satisfiz o meu desejo O pior foi te perder Resignemos, oh querida Não lamentemos avida Nosso destino é sofrer Saudade, palavra triste Quando se perde um grande amor Na estrada longa da vida Eu vou chorando a minha dor Igual a uma borboleta Vagando triste por sobre a flor Teu nome sempre em meus lábios Irei chamando por onde for Você nem sequer se lembra De ouvir a voz desse sofredor Que implora por seus carinhos Só um pouquinho do seu amor Meu primeiro amor Tão cedo acabou Só a dor deixou Nesse peito meu Meu primeiro amor Foi como uma flor Que desabrochou E logo morreu Nessa solidão Sem ter alegria O que me alivia São meus tristes ais São prantos de dor Que dos olhos caem É porque bem sei Quem eu tanto amei Não verei jamais",https://www.letras.mus.br/bruno-e-marrone/boate-azul/,,2025-10-01T20:17:38.723324,319,1,ranking_mais_acessadas_corrigido
8,Tocando Em Frente,Almir Sater,Tocando Em Frente,Almir Sater,"Ando devagar Porque já tive pressa E levo esse sorriso Porque já chorei demais Hoje me sinto mais forte Mais feliz, quem sabe Só levo a certeza De que muito pouco sei Ou nada sei Conhecer as manhas E as manhãs O sabor das massas E das maçãs É preciso amor Pra poder pulsar É preciso paz pra poder sorrir É preciso a chuva para florir Penso que cumprir a vida Seja simplesmente Compreender a marcha E ir tocando em frente Como um velho boiadeiro Levando a boiada Eu vou tocando os dias Pela longa estrada, eu vou Estrada eu sou Conhecer as manhas E as manhãs O sabor das massas E das maçãs É preciso amor Pra poder pulsar É preciso paz pra poder sorrir É preciso a chuva para florir Todo mundo ama um dia Todo mundo chora Um dia a gente chega E no outro vai embora Cada um de nós compõe a sua história E cada ser em si carrega o dom de ser capaz De ser feliz Conhecer as manhas E as manhãs O sabor das massas E das maçãs É preciso amor Pra poder pulsar É preciso paz pra poder sorrir É preciso a chuva para florir Ando devagar Porque já tive pressa E levo esse sorriso Porque já chorei demais Cada um de nós compõe a sua história E cada ser em si carrega o dom de ser capaz E ser feliz",https://www.letras.mus.br/almir-sater/tocando-em-frente/,1991.0,2025-10-01T20:17:42.564627,239,1,ranking_mais_acessadas_corrigido
9,Cuida Bem Dela,Henrique & Juliano,Cuida Bem Dela,Henrique & Juliano,"Sabe aquela menina sentada ali?Com o olhar desconfiado, tão inocente Eu já fui doente naquela mulher Eu sei que agora ela deve tá olhando de lado Tão sem graça, vendo o presente e o passado Conversando de um assunto, ela já sabe qual é Esse é meu único aviso Se ela quis ficar contigo Faça ela feliz Faça ela feliz Cuida bem dela Você não vai conhecer alguém melhor que ela Promete pra mim O que você jurar pra ela, você vai cumprir Cuida bem dela Ela gosta que reparem no cabelo dela Foi por um triz Mas fui incapaz de ser o que ela sempre quis Faça ela feliz Sabe aquela menina sentada ali?Com o olhar desconfiado, tão inocente Eu já fui doente naquela mulher Eu sei que agora ela deve tá olhando de lado Tão sem graça, vendo o presente e o passado Conversando de um assunto, ela já sabe qual é Esse é meu único aviso Se ela quis ficar contigo Faça ela feliz Faça ela feliz Cuida bem dela Você não vai conhecer alguém melhor que ela Promete pra mim O que você jurar pra ela, você vai cumprir Cuida bem dela Ela gosta que reparem no cabelo dela Foi por um triz Mas fui incapaz de ser o que ela sempre quis Cuida bem dela Você não vai conhecer alguém melhor que ela Promete pra mim O que você jurar pra ela, você vai cumprir Cuida bem dela Ela gosta que reparem no cabelo dela Foi por um triz Mas fui incapaz de ser o que ela sempre quis Faça ela feliz, uou Cuida bem dela",https://www.letras.mus.br/henrique-e-juliano/cuida-bem-dela/,2014.0,2025-10-01T20:17:45.627371,271,1,ranking_mais_acessadas_corrigido
10,Retrovisor,Gusttavo Lima,Retrovisor,Gusttavo Lima,Só tem louça pra lavar Quem tem comida no prato Só paga IPVAQuem já conquistou um carro Só passa a noite ouvindo choro Quem teve a bênção de um filho Só tem que acordar cedo quem tem um emprego Cê já pensou nisso?Começa ver o copo meio cheio E não meio vazio Olha pro retrovisor Tudo que cê já passou Lembra quando cê ajoelhou pra pedir Pelas coisas que hoje você reclamou?Olha pro retrovisor E começa dar valor Tem tanta gente com menos que tá agradecendo só porque acordou Olha pro retrovisor Só passa a noite ouvindo choro Quem teve a bênção de um filho Só tem que acordar cedo quem tem um emprego Cê já pensou nisso?Começa ver o copo meio cheio E não meio vazio Olha pro retrovisor Tudo que cê já passou Lembra quando cê ajoelhou pra pedir Pelas coisas que hoje você reclamou?Olha pro retrovisor E começa dar valor Tem tanta gente com menos que tá agradecendo só porque acordou Olha pro retrovisor Pelas coisas que hoje você reclamou Olha pro retrovisor Tem tanta gente com menos que tá agradecendo só porque acordou Olha pro retrovisor,https://www.letras.mus.br/gusttavo-lima/retrovisor/,2025.0,2025-10-01T20:17:48.803945,190,1,ranking_mais_acessadas_corrigido
